Load-Factor,Hashing-type,Search-type,Search-count
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,4
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,successful,1
0.50,linear-probing,successful,1
0.50,double-hashing,successful,1
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,3
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,3
0.50,chaining,successful,1
0.50,linear-probing,successful,1
0.50,double-hashing,successful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,4
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,successful,1
0.50,linear-probing,successful,1
0.50,double-hashing,successful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,3
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,3
0.50,double-hashing,unsuccessful,5
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,3
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,4
0.50,chaining,successful,1
0.50,linear-probing,successful,1
0.50,double-hashing,successful,1
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,4
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,3
0.50,double-hashing,unsuccessful,3
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,3
0.50,double-hashing,unsuccessful,1
0.50,chaining,successful,2
0.50,linear-probing,successful,2
0.50,double-hashing,successful,3
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,3
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,4
0.50,double-hashing,unsuccessful,3
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,6
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,6
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,successful,1
0.50,linear-probing,successful,1
0.50,double-hashing,successful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,4
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,6
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,4
0.50,chaining,successful,1
0.50,linear-probing,successful,1
0.50,double-hashing,successful,1
0.50,chaining,successful,1
0.50,linear-probing,successful,1
0.50,double-hashing,successful,1
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,5
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,successful,2
0.50,linear-probing,successful,2
0.50,double-hashing,successful,4
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,3
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,3
0.50,linear-probing,unsuccessful,6
0.50,double-hashing,unsuccessful,3
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,4
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,successful,1
0.50,linear-probing,successful,1
0.50,double-hashing,successful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,successful,2
0.50,linear-probing,successful,2
0.50,double-hashing,successful,3
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,successful,1
0.50,linear-probing,successful,1
0.50,double-hashing,successful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,4
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,3
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,4
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,3
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,5
0.50,double-hashing,unsuccessful,5
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,3
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,successful,1
0.50,linear-probing,successful,1
0.50,double-hashing,successful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,3
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,3
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,4
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,6
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,3
0.50,linear-probing,unsuccessful,4
0.50,double-hashing,unsuccessful,3
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,6
0.50,double-hashing,unsuccessful,3
0.50,chaining,successful,1
0.50,linear-probing,successful,1
0.50,double-hashing,successful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,successful,1
0.50,linear-probing,successful,1
0.50,double-hashing,successful,1
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,3
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,3
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,5
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,successful,1
0.50,linear-probing,successful,1
0.50,double-hashing,successful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,successful,1
0.50,linear-probing,successful,1
0.50,double-hashing,successful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,3
0.50,linear-probing,unsuccessful,4
0.50,double-hashing,unsuccessful,3
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,4
0.50,double-hashing,unsuccessful,3
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,successful,2
0.50,linear-probing,successful,3
0.50,double-hashing,successful,3
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,4
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,successful,1
0.50,linear-probing,successful,1
0.50,double-hashing,successful,1
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,7
0.50,double-hashing,unsuccessful,3
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,3
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,successful,1
0.50,linear-probing,successful,1
0.50,double-hashing,successful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,4
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,5
0.50,chaining,unsuccessful,3
0.50,linear-probing,unsuccessful,8
0.50,double-hashing,unsuccessful,3
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,successful,1
0.50,linear-probing,successful,1
0.50,double-hashing,successful,1
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,4
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,successful,1
0.50,linear-probing,successful,1
0.50,double-hashing,successful,1
0.50,chaining,successful,1
0.50,linear-probing,successful,1
0.50,double-hashing,successful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,4
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,3
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,2
0.50,linear-probing,unsuccessful,2
0.50,double-hashing,unsuccessful,3
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
0.50,double-hashing,unsuccessful,1
0.50,chaining,unsuccessful,1
0.50,linear-probing,unsuccessful,1
